Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Black Panther,2018,7.366,22948,200000000,1349926083,284054,black panther,0,both,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Black Panther: Wakanda Forever,2022,7.0,7101,250000000,859102154,505642,black panther: wakanda forever,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Black Widow,2021,7.2,10851,200000000,379751131,497698,black widow,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Blackhat,2015,5.514,2118,70000000,17752940,201088,blackhat,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
BlacKkKlansman,2018,7.5,7865,15000000,93411426,487558,blackkklansman,0,both,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1
Blade Runner 2049,2017,7.587,14536,150000000,259239658,335984,blade runner 2049,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
Blink Twice,2024,6.681,1667,20000000,46393906,840705,blink twice,0,left_only,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
Blonde,2022,5.929,1462,22000000,0,301502,blonde,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Blood Red Sky,2021,6.813,1648,17739525,0,760883,blood red sky,0,left_only,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
Bloodshot,2020,6.696,5123,42000000,39861118,338762,bloodshot,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Blue Beetle,2023,6.658,2943,104000000,130788072,565770,blue beetle,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Bob Marley: One Love,2024,6.647,899,70000000,180828556,802219,bob marley: one love,0,left_only,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,0
Bodies Bodies Bodies,2022,6.176,1350,3000000,13900000,520023,bodies bodies bodies,0,left_only,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0
Bohemian Rhapsody,2018,7.964,17395,52000000,910813521,424694,bohemian rhapsody,0,both,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
Bombshell,2019,6.784,3112,32000000,61404394,525661,bombshell,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Bone Tomahawk,2015,6.875,2413,1800000,475846,294963,bone tomahawk,0,left_only,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
Bones and All,2022,7.027,1519,16000000,15234907,791177,bones and all,0,left_only,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
Booksmart,2019,7.009,2751,6000000,24849029,505600,booksmart,0,left_only,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Borat Subsequent Moviefilm,2020,6.436,2723,0,0,740985,borat subsequent moviefilm,0,left_only,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Borderlands,2024,5.616,1337,115000000,33017367,365177,borderlands,0,left_only,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Boss Level,2021,6.86,1784,45000000,2000000,513310,boss level,0,left_only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
Brahms: The Boy II,2020,5.9,1271,10000000,20311536,555974,brahms: the boy ii,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
Bridge of Spies,2015,7.236,7083,40000000,165478348,296098,bridge of spies,0,both,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
Bridget Jones's Baby,2016,6.4,3022,35000000,211952420,95610,bridget jones's baby,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Bright,2017,6.2,5837,90000000,0,400106,bright,0,left_only,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
Brightburn,2019,6.135,3327,6000000,33224654,531309,brightburn,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
Brooklyn,2015,7.31,3186,11000000,62076141,167073,brooklyn,0,both,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,1
Bullet Train,2022,7.419,7042,90000000,239300000,718930,bullet train,0,left_only,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
